CÓDIGO RENIPRESS,lat,lon
00012557,-16.39073134,-71.54347701
00021966,-16.38410847,-71.54049305
00001254,-16.25090344,-71.68181062
00037008,-16.42571979,-71.52872351
00034901,-16.41913098,-71.51631652
00024554,-16.4172268,-71.53193883
00001264,-16.45004288,-71.51231813
00028442,-16.4090474,-71.537451
00022082,-16.42920633,-71.52501847
00001353,-16.6026804,-72.77111819
00001360,-16.58404,-72.70881667
00001348,-16.43482519,-73.10560031
00001363,-16.40050909,-73.22026489
00001357,-16.60371903,-72.70124329
00001352,-15.45316165,-74.62286493
00001372,-15.625505,-73.79680333
00001393,-16.07071565,-72.49270996
00001395,-16.12521167,-72.493555
00013299,-16.0724988,-72.4904101
00001405,-15.50025732,-72.26979705
00001442,-15.14863191,-72.07236784
00014382,-15.28611965,-72.3757019
00001407,-15.26797592,-72.34374211
00001385,-15.71513833,-72.57735
00001400,-15.72272041,-72.50228292
00001401,-15.70632499,-72.50845737
00001386,-15.65677,-72.527425
00001418,-14.91449267,-71.87532229
00001433,-15.73184143,-72.10747059
00001340,-15.9315936,-72.05809427
00028243,-16.3499293,-72.1855395
00025731,-16.3624227,-72.1910749
00001413,-15.42104134,-72.67920616
00030020,-17.01154409,-72.01243333
00026367,-17.0922627,-71.7740405
00036466,-13.15642516,-74.22380099
00033774,-13.1548359,-74.2256133
00033941,-13.1638737,-74.2235641
00033935,-13.1516348,-74.225493
00032369,-13.1638737,-74.2235641
00032598,-13.1638737,-74.2235641
00031606,-13.1638737,-74.2235641
00026904,-13.15712887,-74.22443181
00028351,-13.14816365,-74.22808899
00027964,-13.1638737,-74.2235641
00027965,-13.16370244,-74.22454006
00026653,-13.1566064,-74.2291815
00028123,-13.1638737,-74.2235641
00029823,-13.15927179,-74.22787173
00008154,-13.15513333,-74.223415
00011354,-13.20389219,-74.21632247
00003568,-13.46444427,-74.10025174
00036923,-13.17130767,-74.21633921
00006736,-13.18234374,-74.31081081
00003610,-13.11385346,-74.19321806
00003604,-13.16080108,-74.17011962
00036594,-13.15537661,-74.21387977
00032077,-13.1638737,-74.2235641
00029750,-13.122514,-74.2003231
00028119,-13.1605503,-74.2257679
00035125,-13.16394422,-74.19968439
00011362,-13.15590642,-74.20140223
00003506,-13.56086667,-74.16620833
00003508,-13.46594327,-74.20960855
00003571,-13.37786146,-74.93820753
00003623,-13.57046543,-74.52218799
00003641,-13.83606388,-74.31604423
00033502,-12.93884524,-74.25052065
00025031,-12.89310411,-74.27850983
00007304,-12.539309,-73.940432
00006908,-12.43457,-73.96054167
00003776,-12.40054333,-73.91158833
00010366,-12.83232922,-74.05929679
00003752,-12.76360122,-74.00477361
00003788,-13.11609833,-73.69065333
00030157,-12.680314,-73.8701029
00003755,-12.71974833,-73.88582
00003763,-13.05282833,-73.50592167
00032109,-12.9455855,-74.2481176
00003764,-12.68577833,-73.73554
00009127,-12.91125333,-73.990865
00003727,-14.68641667,-74.11954333
00003733,-14.72175566,-74.08754644
00030114,-14.69442697,-74.12484166
00003714,-14.24671317,-74.04292283
00003710,-14.38447221,-73.96078894
00006654,-14.11437333,-75.02629
00003739,-14.65651167,-74.69640167
00003721,-14.54162,-74.26475
00003688,-14.545915,-74.80830667
00003539,-15.22534833,-74.22620333
00003540,-15.313305,-74.32208167
00003516,-14.76800162,-73.84927875
00003523,-15.01339177,-73.78244415
00034691,-15.258916,-73.8115111
00003537,-15.30361667,-73.75072
00003528,-15.24935167,-73.686095
00003531,-14.99634,-73.35222
00031020,-13.1638737,-74.2235641
00003704,-15.247055,-73.34757
00003698,-15.262355,-73.20101
00003699,-15.18010833,-73.18783833
00003700,-15.22494333,-73.226915
00003802,-13.93994833,-73.75451167
00011434,-14.01250557,-73.84054768
00003805,-13.88491167,-73.725415
00003810,-14.11187667,-73.873595
00003818,-14.11425167,-73.60478333
00003839,-13.69593469,-74.1180755
00003830,-13.8794097,-73.92940735
00003587,-13.61922481,-74.73988237
00003849,-13.64472233,-73.86936293
00003851,-13.56952971,-73.85686065
00003844,-13.85403787,-73.87716987
00006609,-13.58842682,-73.99749123
00036175,-7.1666495,-78.5066631
00036322,-7.17501641,-78.50718716
00036386,-7.15574941,-78.51990278
00034144,-5.7147695,-78.7944304
00034460,-7.15001856,-78.51570821
00032439,-7.0656229,-78.5556265
00009296,-7.15044333,-78.51540667
00028999,-7.15745383,-78.51255751
00004657,-7.20029,-78.48587
00010150,-7.1617465,-78.5127855
00028246,-7.1565627,-78.5136238
00027642,-7.1617465,-78.5127855
00029357,-7.1617465,-78.5127855
00027979,-7.1617465,-78.5127855
00028093,-7.1622647,-78.5001025
00027972,-7.14792087,-78.51392139
00016398,-7.1617465,-78.5127855
00004640,-7.06213,-78.55323
00030219,-7.1495393,-78.5185621
00004642,-7.202699,-78.485554
00004641,-7.164666,-78.513279
00004655,-7.15567445,-78.51341303
00004654,-7.1386859,-78.52530337
00029324,-7.1617465,-78.5127855
00029120,-7.1617465,-78.5127855
00034599,-7.16485819,-78.4671915
00034011,-7.1798477,-78.4917133
00004600,-7.21992985,-78.25360898
00035354,-7.61622205,-78.04873673
00032043,-7.6209569,-78.0452217
00021922,-7.6206299,-78.04700269
00007649,-7.61069733,-78.06415562
00004528,-7.45106642,-78.26969192
00004514,-7.6567491,-78.18262395
00004530,-7.55201366,-78.31222062
00030203,-6.86781225,-78.1444221
00006759,-6.53954252,-78.21358898
00007120,-6.72964597,-78.35897672
00004488,-6.9295306,-78.13082021
00004482,-6.93961634,-78.13514467
00006756,-6.66412068,-78.33592421
00004673,-6.58527,-78.60454
00004669,-6.55439,-78.59715
00026317,-6.56132045,-78.64723578
00004661,-6.60321,-78.66489
00006842,-6.62654,-78.62297
00004751,-6.34513942,-78.62252168
00004753,-6.32226144,-78.60435245
00004735,-6.471922,-78.41763467
00004765,-6.49088471,-79.14295607
00004764,-6.62978223,-79.29835064
00007119,-6.29566992,-79.27458642
00004732,-6.5522287,-78.38988366
00004731,-6.595278,-78.34972794
00023433,-6.35102559,-79.12695948
00004716,-6.30458999,-79.12051543
00004747,-6.37049,-78.66871
00004726,-6.49291851,-78.53960157
00004728,-6.52640318,-78.50506968
00004554,-7.3534676,-78.93001098
00004592,-7.25504872,-79.2371482
00033671,-6.37787658,-78.81221986
